draws,first_name,height,last_name,losses,reach,stance,url,weight,wins,fighter_id,SApM,SLpM,Str. Acc.,Str. Def,Sub. Avg.,TD Acc.,TD Avg.,TD Def.
0,Aliev,"5' 6""",Makhmud,1,--,Southpaw,3d481aa374c954a1,195 lbs.,0,1620,2.24,1.12,30%,36%,0.0,50%,2.10,0%
0,Zach,"5' 4""",Makovsky,8,"64.0""",Southpaw,57ab4d7c0bc09a30,125 lbs.,19,1621,2.24,1.94,43%,62%,0.3,30%,3.71,56%
0,Jeremy,"5' 11""",Malaterre,2,--,,110404b505fb562c,155 lbs.,4,1622,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Fabio,"6' 1""",Maldonado,9,"75.0""",Orthodox,1fb80f46d3c105d9,205 lbs.,22,1623,4.31,5.29,58%,53%,0.6,57%,0.44,61%
0,Marvin,"5' 6""",Maldonado,4,--,,e5ce754b01f922be,135 lbs.,2,1624,3.47,0.87,56%,43%,0.0,0%,0.00,20%
0,Nazareno,"5' 8""",Malegarie,5,"70.0""",,d38e8c6ae2dfc051,155 lbs.,28,1625,3.27,3.87,34%,69%,0.0,33%,1.00,0%
0,Carl,"5' 11""",Malenko,4,--,Orthodox,a314687f372b2cec,200 lbs.,6,1626,0.00,0.00,0%,0%,0.0,0%,0.00,0%
1,Mike,"6' 0""",Malott,1,--,,dd6103dd7127db1d,145 lbs.,5,1627,4.53,4.53,36%,51%,0.0,33%,2.00,0%
0,Troy,"5' 9""",Mandaloniz,2,--,Orthodox,725a834930c2b5bf,170 lbs.,3,1628,4.71,3.52,56%,63%,0.0,66%,3.10,57%
0,Michael,--,Mangan,3,--,,9297ce6eee046f7a,155 lbs.,0,1629,4.52,1.94,33%,46%,0.0,50%,19.35,100%
1,Melvin,"5' 9""",Manhoef,9,--,Orthodox,e5767ed355a937c2,185 lbs.,25,1630,2.64,3.52,48%,51%,0.0,25%,0.33,78%
0,Melchor,"5' 5""",Manibusan,4,--,Southpaw,b6c6d1731ff00eeb,154 lbs.,2,1631,5.79,1.58,54%,15%,0.0,0%,0.00,0%
0,Jon,"6' 1""",Manley,3,"75.0""",Orthodox,a0602dd050bebefc,170 lbs.,7,1632,4.33,1.13,20%,45%,0.0,7%,1.00,20%
0,Steve,"6' 1""",Mann,5,--,,0eef1bf99afd4ff2,170 lbs.,12,1633,0.66,3.18,70%,57%,0.0,100%,1.64,60%
2,Chris,"5' 9""",Manuel,3,--,Orthodox,a23e63184c65f5b8,135 lbs.,8,1634,2.67,2.53,40%,66%,0.0,20%,1.00,100%
0,Jimi,"6' 1""",Manuwa,4,"79.0""",Orthodox,1e1dbd1cc5a7469e,205 lbs.,17,1635,3.74,3.34,53%,49%,0.4,21%,0.58,71%
0,Cristiano,"5' 9""",Marcello,6,"72.0""",Orthodox,ff4c3ab594c7fac3,155 lbs.,13,1636,3.61,2.56,33%,58%,0.9,11%,0.44,20%
0,Jose,"5' 5""",Maria,5,--,Orthodox,b35ba64b6a2bbcb3,125 lbs.,33,1637,3.98,3.20,53%,52%,2.3,27%,2.32,33%
0,Enrique,"5' 10""",Marin,4,"74.0""",,23a6e307077c6ccc,170 lbs.,9,1638,3.00,1.43,33%,50%,1.0,38%,2.50,60%
0,Ronny,"6' 1""",Markes,3,"75.0""",Orthodox,bd21a1e3d41c97ee,185 lbs.,14,1639,2.43,2.17,53%,45%,0.5,40%,3.13,100%
0,Rory,"6' 0""",Markham,6,"71.0""",Orthodox,23a16ebe733e3041,170 lbs.,16,1640,10.27,1.98,21%,45%,0.0,0%,0.00,0%
0,Randa,"5' 4""",Markos,6,"63.0""",Orthodox,4a57ebb14315b251,115 lbs.,8,1641,3.16,3.07,41%,62%,0.3,30%,1.64,53%
0,Christina,"5' 7""",Marks,9,"69.0""",Orthodox,c7be22a47a58365a,125 lbs.,8,1642,3.00,5.00,58%,64%,0.0,100%,7.50,0%
2,Nate,"6' 0""",Marquardt,19,"74.0""",Orthodox,a8e6a69796280f17,185 lbs.,38,1643,2.32,2.71,49%,55%,0.8,51%,1.87,70%
0,Julian,"6' 2""",Marquez,1,"75.0""",Orthodox,d0e1b42d41dab603,185 lbs.,7,1644,3.33,4.46,50%,49%,4.0,0%,0.00,61%
0,Carmelo,"6' 0""",Marrero,5,"73.0""",Orthodox,aa03a3ca00ac6827,205 lbs.,14,1645,2.04,0.84,34%,54%,0.9,36%,3.21,36%
0,Cesar,--,Marscucci,2,--,,e8efeb9cf33b1941,--,2,1646,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,John,"6' 0""",Marsh,7,--,Orthodox,b6b12014698cc345,265 lbs.,8,1647,2.23,0.83,42%,40%,0.4,100%,0.43,54%
0,CJ,--,Marsh,1,--,,4c91eb190d5e0dd9,--,5,1648,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Eliot,"6' 2""",Marshall,4,"77.0""",Orthodox,a08d909a5be6f410,205 lbs.,10,1649,2.39,1.93,27%,67%,0.9,33%,0.47,79%
0,Doug,"5' 10""",Marshall,5,--,Orthodox,0c1773639c795466,205 lbs.,13,1650,6.29,7.97,51%,61%,6.3,0%,0.00,0%
0,David,"6' 2""",Marshall,3,--,,0a2813f89a758ff7,170 lbs.,8,1651,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Jack,"6' 0""",Marshman,7,"73.0""",Orthodox,045f25b3a4c08e81,170 lbs.,22,1652,4.42,3.49,33%,57%,0.0,0%,0.00,16%
0,Terry,"5' 8""",Martin,9,"71.0""",Orthodox,6a92caba39b64752,185 lbs.,22,1653,3.26,2.68,41%,53%,0.0,40%,3.01,92%
0,Eric,--,Martin,1,--,,abbc4fc02e0d84b3,--,0,1654,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Justin,"6' 0""",Martin,3,--,,3da19339ee7051d5,185 lbs.,4,1655,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Dave,"6' 0""",Martin,2,--,,92c96df8bdab5fea,205 lbs.,0,1656,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Joe,"5' 9""",Martin,8,--,,325550dab63fb25a,170 lbs.,6,1657,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Tony,"6' 0""",Martin,4,"73.0""",Orthodox,5331b25a60417ffb,170 lbs.,12,1658,3.16,2.61,40%,55%,1.1,25%,1.28,50%
0,Rainy,"6' 0""",Martinez,2,--,Orthodox,577ec7e108b94be3,199 lbs.,0,1659,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Danny,"5' 6""",Martinez,7,"67.0""",Orthodox,8a9c6c4301f6d088,125 lbs.,18,1660,3.77,2.73,28%,63%,0.0,45%,3.00,36%
1,Alonzo,"5' 10""",Martinez,16,--,,feffee4fc6da3aa3,155 lbs.,35,1661,7.33,3.07,27%,52%,0.0,0%,0.00,0%
0,Henry,"5' 7""",Martinez,3,"68.0""",Southpaw,76729a829623e266,155 lbs.,9,1662,4.01,2.79,25%,60%,0.0,0%,0.00,80%
0,Wagner da Conceicao,"6' 7""",Martins,7,--,Orthodox,563d051c9e769b24,390 lbs.,8,1663,5.43,1.91,37%,42%,0.0,100%,2.20,100%
0,Adriano,"5' 10""",Martins,9,"72.0""",Southpaw,7dcf06c1967801c1,155 lbs.,28,1664,2.14,1.80,38%,65%,0.4,80%,0.83,81%
0,Lucas,"6' 0""",Martins,3,"72.0""",Southpaw,7413b80dbb0f8f9f,145 lbs.,16,1665,4.14,2.87,35%,60%,0.5,0%,0.00,76%
0,Max,--,Martyniouk,1,--,,69d3fa376ff2595e,155 lbs.,1,1666,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Bristol,"6' 1""",Marunde,9,"71.0""",Orthodox,a17322f99ddfd8e9,170 lbs.,12,1667,4.40,1.42,21%,47%,0.0,33%,1.60,14%
1,Shoji,"5' 7""",Maruyama,7,--,Orthodox,c046100aea0dba9a,139 lbs.,10,1668,0.27,1.40,63%,55%,0.0,0%,0.00,54%
0,Mike,"6' 2""",Massenzio,6,"73.0""",Southpaw,5b2d7906aa894274,185 lbs.,13,1669,3.59,2.08,45%,54%,1.4,24%,2.74,50%
0,Jameel,"5' 10""",Massouh,9,"72.0""",Orthodox,883922e5cd6d8473,145 lbs.,26,1670,2.62,1.91,54%,55%,0.7,15%,0.67,50%
0,Tiffany,"5' 3""",Masters,1,"65.0""",Orthodox,ca743f96dd2063d5,115 lbs.,2,1671,2.58,3.53,62%,50%,0.0,60%,3.06,0%
0,Jorge,"5' 11""",Masvidal,13,"74.0""",Orthodox,47b9e0e7703a4868,170 lbs.,32,1672,2.96,4.15,46%,67%,0.4,58%,1.73,78%
