draws,first_name,height,last_name,losses,reach,stance,url,weight,wins,fighter_id
1,Nick,"6' 1""",Thompson,14,"74.0""",Orthodox,"7d3caf0f96f1b33d""",170 lbs.,38,2338
0,James,"6' 5""",Thompson,14,--,Orthodox,"9e30f69cc0869301""",265 lbs.,16,2339
0,Oli,"6' 1""",Thompson,4,"75.0""",Orthodox,"dcdd511ff757f15c""",242 lbs.,9,2340
1,Stephen,"6' 0""",Thompson,2,"75.0""",Orthodox,"4a28cb716c19157a""",170 lbs.,14,2341
0,Josh,"5' 10""",Thomson,8,"71.0""",Orthodox,"a566371ba2ad7152""",155 lbs.,21,2342
1,Simeon,"6' 1""",Thoresen,4,"79.0""",Orthodox,"fea8acf9bfcf09ec""",170 lbs.,17,2343
0,Josh,"6' 0""",Thornburg,5,--,,"083e15da67d9b0fa""",170 lbs.,7,2344
0,Gleison,"5' 10""",Tibau,13,"71.0""",Southpaw,"75e5fec9f72910ef""",155 lbs.,40,2345
0,Chris,"5' 9""",Tickle,5,--,,"1d1b85389a05df69""",155 lbs.,7,2346
0,Nolan,"5' 6""",Ticman,3,"69.0""",Orthodox,"9eb069062a0cfc13""",125 lbs.,4,2347
1,Darren,"6' 0""",Till,0,"74.0""",Southpaw,"9ce6d5a03af801b7""",170 lbs.,16,2348
0,Ryan,--,Tobar,3,--,,"57481f1f10530c61""",155 lbs.,3,2349
0,Andrew,"6' 0""",Todhunter,0,"72.0""",Switch,"274ca7b799b402cc""",170 lbs.,7,2350
1,Hideo,"5' 7""",Tokoro,25,--,Orthodox,"2d5fbe2103f97053""",135 lbs.,30,2351
0,Anatoly,"5' 10""",Tokov,2,--,,"679ae8c4fd022c6b""",185 lbs.,25,2352
1,Kazuki,"5' 11""",Tokudome,6,"73.0""",Southpaw,"c4af2feb4b58bc3b""",155 lbs.,12,2353
0,Tyler,"5' 8""",Toner,3,"70.0""",Orthodox,"8e893f269d5696b2""",145 lbs.,12,2354
0,Carl,--,Toomey,3,--,,"5ee87e0432205755""",--,3,2355
0,Anthony,"5' 8""",Torres,2,--,Orthodox,"918d9d89d4d52acc""",170 lbs.,5,2356
0,Miguel,"5' 9""",Torres,5,"76.0""",Orthodox,"33b2f68ef95252e0""",135 lbs.,39,2357
0,Ronys,"5' 7""",Torres,4,--,Orthodox,"cce79e827569f26e""",155 lbs.,22,2358
0,Tecia,"5' 1""",Torres,2,"60.0""",Orthodox,"31ef8b67e13495b3""",115 lbs.,10,2359
0,Abram,"5' 10""",Torres,3,--,,"e175a261a280f7cb""",170 lbs.,4,2360
0,Salim,"5' 10""",Touahri,2,"72.0""",Orthodox,"cbf1c7ba5408a66f""",170 lbs.,10,2361
0,Minoru,"5' 11""",Toyonaga,5,--,Southpaw,"04076783ca83d6ae""",195 lbs.,2,2362
1,Roberto,"6' 3""",Traven,4,--,Orthodox,"20ec0061400178ca""",227 lbs.,6,2363
0,Bryan,--,Travers,3,--,,"008cf84faae9c7a5""",155 lbs.,14,2364
0,Alexander,--,Trevino,2,--,,"73abb7a5c57fb443""",170 lbs.,5,2365
0,Francisco,"5' 9""",Trevino,2,"70.0""",Orthodox,"97a6bbe6e6566a94""",155 lbs.,12,2366
0,Frank,"5' 9""",Trigg,9,"71.0""",Southpaw,"d2d37e8eeb3abc8d""",170 lbs.,21,2367
0,Francisco,"5' 9""",Trinaldo,6,"70.0""",Southpaw,"a8283a4f415e1eb9""",155 lbs.,22,2368
0,Damien,"5' 11""",Trites,6,--,,"cb1c09c8126dbee0""",165 lbs.,7,2369
1,Tor,"6' 2""",Troeng,7,"77.0""",Orthodox,"8abf70f79e9e27c2""",185 lbs.,16,2370
0,Reynaldo,"5' 9""",Trujillo,7,--,,"e6b233a007cb06c4""",155 lbs.,8,2371
0,Abel,"5' 8""",Trujillo,8,"70.0""",Orthodox,"e14b5aa06eea9653""",155 lbs.,15,2372
0,Chris,"6' 2""",Tuchscherer,4,"76.0""",Orthodox,"df05aa15b2d66f57""",258 lbs.,21,2373
0,Jon,"5' 11""",Tuck,4,"73.0""",Orthodox,"53ec9cb470e1a4ea""",155 lbs.,10,2374
0,Gavin,"5' 6""",Tucker,1,"66.0""",Southpaw,"da816417a579a0bd""",145 lbs.,10,2375
1,Jumabieke,"5' 7""",Tuerxun,3,"67.0""",Orthodox,"1ed32eaaba9ffe10""",135 lbs.,17,2376
0,Blair,"6' 0""",Tugman,6,--,,"63f8775391301891""",135 lbs.,10,2377
0,Tai,"6' 2""",Tuivasa,0,"75.0""",Southpaw,"c62fbc117d57b943""",264 lbs.,9,2378
0,Zubaira,"5' 8""",Tukhugov,4,"68.0""",Orthodox,"aceffa19749c4dc0""",145 lbs.,18,2379
0,Albert,"5' 11""",Tumenov,4,"73.0""",Orthodox,"ff6a1f63c254127e""",170 lbs.,17,2380
0,Ricky,"5' 9""",Turcios,1,"71.0""",Orthodox,"cd3d7e37ff2d679c""",135 lbs.,8,2381
0,Marcin,"6' 3""",Tybura,4,"78.0""",Orthodox,"c9cf753cfdf77fc2""",249 lbs.,16,2382
0,Alberto,"6' 3""",Uda,2,"77.0""",Orthodox,"8f2deefe8c5dfb5d""",185 lbs.,9,2383
5,Ryuki,"5' 11""",Ueyama,13,--,Southpaw,"bcd124bcd3d5be46""",180 lbs.,11,2384
0,Andy,"6' 0""",Uhrich,3,--,,"4a1a492f299581d9""",170 lbs.,6,2385
1,Gasan,"5' 11""",Umalatov,5,"71.0""",Orthodox,"7a39bbac8cc0fa70""",170 lbs.,15,2386
0,Jeremy,--,Umphries,2,--,,"4793a2d90f5ab8ae""",160 lbs.,5,2387
0,Zach,"6' 2""",Underwood,4,--,,"1e310618d02ff93b""",185 lbs.,8,2388
5,Caol,"5' 7""",Uno,15,"70.0""",Southpaw,"eb1723480fa2f96c""",155 lbs.,26,2389
2,Kengo,"5' 9""",Ura,8,--,,"58258914525740a5""",165 lbs.,10,2390
1,Hector,"5' 11""",Urbina,10,"73.0""",Orthodox,"4b8fb0453a596b8e""",170 lbs.,25,2391
0,Nick,"5' 6""",Urso,3,"66.0""",Southpaw,"e78c4c3d329c531b""",125 lbs.,10,2392
6,Yasuhiro,"5' 5""",Urushitani,6,--,Southpaw,"c34e5849184b08c3""",125 lbs.,19,2393
0,Kamaru,"6' 0""",Usman,1,"76.0""",Switch,"f1b2aa7853d1ed6e""",170 lbs.,12,2394
0,Darren,"5' 6""",Uyenoyama,5,"64.0""",Orthodox,"6546af7ab545b90c""",125 lbs.,8,2395
0,Richie,"5' 6""",Vaculik,5,"69.0""",Orthodox,"54578e5927adea53""",125 lbs.,10,2396
0,Egidijus,"6' 0""",Valavicius,9,--,Orthodox,"fc1868f56d3036eb""",200 lbs.,20,2397
0,Charlie,"5' 3""",Valencia,7,"64.0""",Orthodox,"8a0be41c0380188d""",135 lbs.,12,2398
2,Victor,"5' 10""",Valenzuela,6,--,,"de277a4abcfeea46""",155 lbs.,11,2399
0,Victor,"6' 0""",Valimaki,8,--,Orthodox,"663b76da637402c3""",205 lbs.,16,2400
0,Andrew,--,Valladerez,4,--,,"2a898bf9fb7710b3""",135 lbs.,2,2401
1,Isaac,"5' 8""",Vallie-Flagg,6,"68.0""",Orthodox,"c295de4e10acd4c9""",155 lbs.,14,2402
0,Mike,"6' 2""",van Arsdale,5,--,Switch,"2ee09ec2a0695eb9""",205 lbs.,8,2403
0,Matt,"6' 5""",Van Buren,4,"76.0""",,"7b39035fae7268b8""",205 lbs.,7,2404
0,Chad,"6' 0""",Vance,5,--,Orthodox,"26d61e92a6069cd2""",185 lbs.,6,2405
1,Lando,"5' 9""",Vannata,2,"71.0""",Orthodox,"f9b200db02b488d9""",155 lbs.,9,2406
0,Paige,"5' 4""",VanZant,4,"65.0""",Orthodox,"4d5197f331c47290""",115 lbs.,7,2407
0,Paul,"6' 8""",Varelans,9,--,Orthodox,"07a18ae55dfc3cd9""",300 lbs.,9,2408
1,Jamie,"5' 8""",Varner,11,"72.0""",Orthodox,"a54fc2d6fc224dc3""",155 lbs.,21,2409
0,Linton,"6' 4""",Vassell,5,--,,"a148dfe3485be79d""",205 lbs.,18,2410
0,Billy,"5' 6""",Vaughan,9,--,,"61428ed51f5ff465""",155 lbs.,11,2411
0,Javier,"5' 7""",Vazquez,5,"69.0""",Southpaw,"be5cfd73617a5b1a""",145 lbs.,16,2412
0,Manny,"5' 10""",Vazquez,2,"72.0""",Orthodox,"8d4d25fd9218860b""",125 lbs.,11,2413
0,Matt,"5' 11""",Veach,4,--,Orthodox,"5731cc327790b731""",155 lbs.,15,2414
0,Joe,"6' 0""",Vedepo,5,--,Orthodox,"d35c3ed553b71fa2""",185 lbs.,11,2415
0,Cain,"6' 1""",Velasquez,2,"77.0""",Orthodox,"0ff11cc094e887bc""",240 lbs.,14,2416
0,David,"5' 5""",Velasquez,9,--,Orthodox,"09c44b317c98bf96""",145 lbs.,10,2417
1,Bojan,"6' 0""",Velickovic,6,"76.0""",Southpaw,"fcce75a25c14a804""",170 lbs.,15,2418
0,Karlos,"6' 0""",Vemola,4,"75.0""",Orthodox,"d23ccf4a6c221284""",185 lbs.,10,2419
0,Jerrel,"6' 1""",Venetiaan,3,--,Orthodox,"602bb270f2bdbf02""",195 lbs.,4,2420
1,Scott,"5' 11""",Ventimiglia,6,--,,"6e62bb64f7cc5026""",185 lbs.,14,2421
0,Brandon,"6' 3""",Vera,7,"76.0""",Orthodox,"fa315e6c77eee106""",230 lbs.,12,2422
1,Marlon,"5' 8""",Vera,5,"70.0""",Switch,"7c7332319c14094c""",135 lbs.,10,2423
0,Joe,"5' 7""",Veres,3,--,Orthodox,"c6d8ae3b016d5ad5""",155 lbs.,4,2424
0,Renato,"6' 1""",Verissimo,5,--,Orthodox,"c24b1db4b809d41b""",170 lbs.,7,2425
0,Bryan,"6' 3""",Vetell,3,--,Southpaw,"13a0fb8fbdafb54f""",265 lbs.,4,2426
1,Marvin,"6' 0""",Vettori,4,"74.0""",Southpaw,"7acbb0972e75281a""",185 lbs.,12,2427
0,Hugo,"5' 6""",Viana,4,"67.0""",Orthodox,"f95381efb3051d81""",135 lbs.,8,2428
0,Guilherme,"6' 4""",Viana,3,--,,"393b8e03fb410a78""",205 lbs.,7,2429
0,Polyana,"5' 5""",Viana,1,"67.0""",Orthodox,"9673a497a9da119a""",115 lbs.,10,2430
1,Vitor,--,Vianna,1,--,Orthodox,"744f50016c39c26c""",205 lbs.,12,2431
0,James,"6' 3""",Vick,1,"76.0""",Orthodox,"6256b2b1562cb8e1""",155 lbs.,13,2432
2,Milton,"6' 0""",Vieira,8,"72.0""",Orthodox,"7cf20446453f852b""",145 lbs.,13,2433
